,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
172,House for Sale,"455,500","Oakbrook II,",Fenton,MO,63026,"2,231",3,2,https://www.realtor.com//realestateandhomes-detail/Oakbrook-II_Summit-Woods-Estates_671-Summit-Rd_Fenton_MO_63026_P415612046523
173,House for Sale,"272,043","379 Timber Valley Trl,",Fenton,MO,63026,"1,300",3,2,https://www.realtor.com//realestateandhomes-detail/379-Timber-Valley-Trl_Fenton_MO_63026_M98741-32186
174,House for Sale,"220,000","35 Sennawood Dr,",Fenton,MO,63026,"1,144",3,2.5,https://www.realtor.com//realestateandhomes-detail/35-Sennawood-Dr_Fenton_MO_63026_M78440-85526
175,House for Sale,"264,900","Hickory,",Fenton,MO,63026,2,4,2,https://www.realtor.com//realestateandhomes-detail/Hickory_Estates-at-Winding-Bluffs_200-13th-St_Fenton_MO_63026_P413343123306
176,House for Sale,"178,650","706 Boca Chica Dr,",Fenton,MO,63026,"1,350",3,2,https://www.realtor.com//realestateandhomes-detail/706-Boca-Chica-Dr_Fenton_MO_63026_M88424-33644
177,House for Sale,"199,900","2206 Penncross Ct,",Fenton,MO,63026,"1,127",3,2,https://www.realtor.com//realestateandhomes-detail/2206-Penncross-Ct_Fenton_MO_63026_M85497-27519
178,House for Sale,"268,500","891 Shadow Pine Dr,",Fenton,MO,63026,"2,300",3,2.5,https://www.realtor.com//realestateandhomes-detail/891-Shadow-Pine-Dr_Fenton_MO_63026_M70238-20830
179,House for Sale,"184,500","109 May Valley Ln,",Fenton,MO,63026,960,3,1,https://www.realtor.com//realestateandhomes-detail/109-May-Valley-Ln_Fenton_MO_63026_M85880-25352
180,House for Sale,"275,000","2031 Meramec Meadows Dr,",Fenton,MO,63026,"1,429",3,3,https://www.realtor.com//realestateandhomes-detail/2031-Meramec-Meadows-Dr_Fenton_MO_63026_M98024-18980
181,House for Sale,"234,900","551 Winter Garden Dr,",Fenton,MO,63026,"1,364",3,3,https://www.realtor.com//realestateandhomes-detail/551-Winter-Garden-Dr_Fenton_MO_63026_M89448-72646
182,House for Sale,"279,900","938 Winter Lake Dr,",Fenton,MO,63026,"2,153",3,3.5,https://www.realtor.com//realestateandhomes-detail/938-Winter-Lake-Dr_Fenton_MO_63026_M74443-10833
183,House for Sale,"175,000","1927 Waybridge Ln,",Fenton,MO,63026,"1,401",3,1.5,https://www.realtor.com//realestateandhomes-detail/1927-Waybridge-Ln_Fenton_MO_63026_M88798-32723
184,House for Sale,"280,000","50 Worthy Ct,",Fenton,MO,63026,"1,612",3,2,https://www.realtor.com//realestateandhomes-detail/50-Worthy-Ct_Fenton_MO_63026_M87098-22008
185,House for Sale,"270,000","109 Apostle Cir,",Fenton,MO,63026,"1,601",3,2.5,https://www.realtor.com//realestateandhomes-detail/109-Apostle-Cir_Fenton_MO_63026_M86200-36093
186,House for Sale,"329,900","406 Lincoln Terrace Ct,",Fenton,MO,63026,"1,714",3,2.5,https://www.realtor.com//realestateandhomes-detail/406-Lincoln-Terrace-Ct_Fenton_MO_63026_M85495-55527
187,House for Sale,"199,900","664 Greenhurst Ct,",Fenton,MO,63026,888,4,2,https://www.realtor.com//realestateandhomes-detail/664-Greenhurst-Ct_Fenton_MO_63026_M71165-27306
188,House for Sale,"320,000","1718 Praise Blvd,",Fenton,MO,63026,"2,439",3,3.5,https://www.realtor.com//realestateandhomes-detail/1718-Praise-Blvd_Fenton_MO_63026_M78866-02114
189,House for Sale,"269,000","927 Shadow Pine Dr,",Fenton,MO,63026,"2,600",5,2.5,https://www.realtor.com//realestateandhomes-detail/927-Shadow-Pine-Dr_Fenton_MO_63026_M72541-11576
190,House for Sale,"198,728","1100 Fenton Park Dr,",Fenton,MO,63026,988,3,3,https://www.realtor.com//realestateandhomes-detail/1100-Fenton-Park-Dr_Fenton_MO_63026_M85414-60074
191,House for Sale,"129,000","242 Cool Valley Dr Units 1 & 2,",Fenton,MO,63026,"1,560",2,1,https://www.realtor.com//realestateandhomes-detail/242-Cool-Valley-Dr-Unit-1_Fenton_MO_63026_M73676-69339?ex=MO2435653573
192,House for Sale,"184,900","10 Stone Trail Ct,",Fenton,MO,63026,"1,990",3,3.5,https://www.realtor.com//realestateandhomes-detail/10-Stone-Trail-Ct_Fenton_MO_63026_M84747-15365
193,House for Sale,"189,900","367 Fury Dr,",Fenton,MO,63026,999,4,1,https://www.realtor.com//realestateandhomes-detail/367-Fury-Dr_Fenton_MO_63026_M82712-26872
194,House for Sale,"154,900","256 Green Jade Estates Dr,",Fenton,MO,63026,888,3,2.5,https://www.realtor.com//realestateandhomes-detail/256-Green-Jade-Estates-Dr_Fenton_MO_63026_M86511-91828
195,House for Sale,"299,900","2016 Meramec Meadows Dr,",Fenton,MO,63026,"1,916",3,2.5,https://www.realtor.com//realestateandhomes-detail/2016-Meramec-Meadows-Dr_Fenton_MO_63026_M88439-46507
196,House for Sale,"274,500","756 Spring Crest Ct,",Fenton,MO,63026,"1,569",3,3,https://www.realtor.com//realestateandhomes-detail/756-Spring-Crest-Ct_Fenton_MO_63026_M81069-35853
197,House for Sale,"330,000","2469 Alcarol Dr,",Fenton,MO,63026,"1,965",3,3,https://www.realtor.com//realestateandhomes-detail/2469-Alcarol-Dr_Fenton_MO_63026_M85649-32023
198,House for Sale,"315,000","4832 Romaine Spring Dr,",Fenton,MO,63026,"3,156",4,2.5,https://www.realtor.com//realestateandhomes-detail/4832-Romaine-Spring-Dr_Fenton_MO_63026_M70398-17885
199,House for Sale,"335,000","1844 E Branch Rd,",Fenton,MO,63026,"2,105",3,2.5,https://www.realtor.com//realestateandhomes-detail/1844-E-Branch-Rd_Fenton_MO_63026_M82451-04333
200,House for Sale,"339,900","1725 Ivy Chase Ct,",Fenton,MO,63026,"2,250",5,3.5,https://www.realtor.com//realestateandhomes-detail/1725-Ivy-Chase-Ct_Fenton_MO_63026_M79127-17316
201,House for Sale,"274,900","2047 Meramec Meadows Dr,",Fenton,MO,63026,"1,520",3,2,https://www.realtor.com//realestateandhomes-detail/2047-Meramec-Meadows-Dr_Fenton_MO_63026_M88747-28175
202,House for Sale,"209,990","1407 Trails Dr,",Fenton,MO,63026,"1,556",4,2,https://www.realtor.com//realestateandhomes-detail/1407-Trails-Dr_Fenton_MO_63026_M70459-87248
203,House for Sale,"243,500","1655 Somerset Ridge Dr,",Fenton,MO,63026,"1,789",3,3,https://www.realtor.com//realestateandhomes-detail/1655-Somerset-Ridge-Dr_Fenton_MO_63026_M78115-52358
204,House for Sale,"509,500","1553 Legacy Cir,",Fenton,MO,63026,"3,162",4,3.5,https://www.realtor.com//realestateandhomes-detail/1553-Legacy-Cir_Fenton_MO_63026_M72466-31454
205,House for Sale,"175,000","2311 Viminal Ct,",Fenton,MO,63026,832,3,1.5,https://www.realtor.com//realestateandhomes-detail/2311-Viminal-Ct_Fenton_MO_63026_M78857-85412
206,House for Sale,"207,900","2117 Palatine Ct,",Fenton,MO,63026,"1,211",3,2.5,https://www.realtor.com//realestateandhomes-detail/2117-Palatine-Ct_Fenton_MO_63026_M86019-36921
207,House for Sale,"240,000","8 Forest Knoll Dr,",Fenton,MO,63026,"1,450",3,3,https://www.realtor.com//realestateandhomes-detail/8-Forest-Knoll-Dr_Fenton_MO_63026_M83807-14915
208,House for Sale,"37,900",,Fenton,MO,63026,768,2,1,https://www.realtor.com//realestateandhomes-detail/12-New-Sugar-Creek-Rd_Fenton_MO_63026_M70677-29740
209,House for Sale,"179,900","1850 Waybridge Ln,",Fenton,MO,63026,960,3,2.5,https://www.realtor.com//realestateandhomes-detail/1850-Waybridge-Ln_Fenton_MO_63026_M86294-40593
210,Condo/Townhome,"110,000","652 Green Jade Dr Apt A,",Fenton,MO,63026,936,2,2,https://www.realtor.com//realestateandhomes-detail/652-Green-Jade-Dr-Apt-A_Fenton_MO_63026_M79646-12325
211,House for Sale,"539,000","Springfield,",Fenton,MO,63026,"3,586",4,3.5,https://www.realtor.com//realestateandhomes-detail/Springfield_Summit-Woods-Estates_671-Summit-Rd_Fenton_MO_63026_P413571083623
212,House for Sale,"335,000","362 Summer Top Ln,",Fenton,MO,63026,"2,618",4,2.5,https://www.realtor.com//realestateandhomes-detail/362-Summer-Top-Ln_Fenton_MO_63026_M85150-09998
213,House for Sale,"515,000","Lexington,",Fenton,MO,63026,"3,000",4,3.5,https://www.realtor.com//realestateandhomes-detail/Lexington_Summit-Woods-Estates_671-Summit-Rd_Fenton_MO_63026_P415290660084
214,House for Sale,"445,000","Glenview,",Fenton,MO,63026,"2,040",3,2,https://www.realtor.com//realestateandhomes-detail/Glenview_Summit-Woods-Estates_671-Summit-Rd_Fenton_MO_63026_P413411232800
215,House for Sale,"255,000","1722 Stemwood Way,",Fenton,MO,63026,"1,316",3,2,https://www.realtor.com//realestateandhomes-detail/1722-Stemwood-Way_Fenton_MO_63026_M84750-46570
