,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
424,House for Sale,"$239,900","9423 Crestwood Manor Dr,",Saint Louis,MO,63126,"1,895",3,2,https://www.realtor.com//realestateandhomes-detail/9423-Crestwood-Manor-Dr_Saint-Louis_MO_63126_M70624-92209
425,House for Sale,"$170,000","907 Volz Dr,",Crestwood,MO,63126,"1,170",3,1,https://www.realtor.com//realestateandhomes-detail/907-Volz-Dr_Saint-Louis_MO_63126_M73265-24561
426,Condo/Townhome,"$119,900","9209 Bent Pine Ct Apt F,",Saint Louis,MO,63126,964,2,2,https://www.realtor.com//realestateandhomes-detail/9209-Bent-Pine-Ct-Apt-F_Saint-Louis_MO_63126_M73668-09045
427,Condo/Townhome,"$139,900","11079 Gravois Rd Apt 201,",Saint Louis,MO,63126,"1,056",2,2,https://www.realtor.com//realestateandhomes-detail/11079-Gravois-Rd-Apt-201_Saint-Louis_MO_63126_M79082-05325
428,House for Sale,"$165,000","1036 Sanders Dr,",Crestwood,MO,63126,873,2,1,https://www.realtor.com//realestateandhomes-detail/1036-Sanders-Dr_Saint-Louis_MO_63126_M76586-17302
429,House for Sale,"$299,900","1353 Raycrest Ln,",Crestwood,MO,63126,"1,887",4,2.5,https://www.realtor.com//realestateandhomes-detail/1353-Raycrest-Ln_Saint-Louis_MO_63126_M72250-45547
430,House for Sale,"$200,000","10211 Littie Rd,",Saint Louis,MO,63126,"1,144",3,2,https://www.realtor.com//realestateandhomes-detail/10211-Littie-Rd_Saint-Louis_MO_63126_M80426-74847
431,House for Sale,"$305,000","1416 Fox Creek Dr,",Saint Louis,MO,63126,"1,947",4,2.5,https://www.realtor.com//realestateandhomes-detail/1416-Fox-Creek-Dr_Saint-Louis_MO_63126_M74064-53190
432,House for Sale,"$164,900","11025 Pine Forest Dr,",Saint Louis,MO,63126,864,3,2,https://www.realtor.com//realestateandhomes-detail/11025-Pine-Forest-Dr_Saint-Louis_MO_63126_M74494-35343
433,House for Sale,"$205,000","9507 Caravan Dr,",Saint Louis,MO,63126,"1,022",3,1.5,https://www.realtor.com//realestateandhomes-detail/9507-Caravan-Dr_Saint-Louis_MO_63126_M70578-71232
434,House for Sale,"$220,000","569 High Ave,",Saint Louis,MO,63126,924,3,2.5,https://www.realtor.com//realestateandhomes-detail/569-High-Ave_Saint-Louis_MO_63126_M81660-97386
435,House for Sale,"$269,900","9345 Arban Dr,",Saint Louis,MO,63126,"1,280",3,2,https://www.realtor.com//realestateandhomes-detail/9345-Arban-Dr_Saint-Louis_MO_63126_M78482-18897
436,House for Sale,"$253,900","Prinz III,",Saint Louis,MO,63126,"1,401",2,2,https://www.realtor.com//realestateandhomes-detail/Prinz-III_The-Villas-at-Vista-Conn_2205-Hagenstone-Ter_Saint-Louis_MO_63126_P412248184303
437,House for Sale,"$267,100","Wallis IV Villa,",Saint Louis,MO,63126,"1,457",2,2,https://www.realtor.com//realestateandhomes-detail/Wallis-IV-Villa_The-Villas-at-Vista-Conn_2205-Hagenstone-Ter_Saint-Louis_MO_63126_P414961540935
438,Land,"$299,999","18 Sappington Acres Dr,",Saint Louis,MO,63126,0,0.95,yes,https://www.realtor.com//realestateandhomes-detail/18-Sappington-Acres-Dr_Saint-Louis_MO_63126_M82261-10075?ex=MO2381675619
439,Land,"$36,400","1120 Tahiti Dr,",Saint Louis,MO,63126,0,"8,059",0,https://www.realtor.com//realestateandhomes-detail/1120-Tahiti-Dr_Saint-Louis_MO_63126_M97334-93583
440,House for Sale,"$195,000","952 Elmont Ln,",Saint Louis,MO,63126,"1,026",2,2,https://www.realtor.com//realestateandhomes-detail/952-Elmont-Ln_Saint-Louis_MO_63126_M86432-73258
441,House for Sale,"$179,000","11167 Pine Forest Dr,",Saint Louis,MO,63126,960,3,1.5,https://www.realtor.com//realestateandhomes-detail/11167-Pine-Forest-Dr_Saint-Louis_MO_63126_M83384-29626
442,House for Sale,"$245,000",NA,Saint Louis,MO,63126,"1,505",3,3,https://www.realtor.com//realestateandhomes-detail/9956-Chileswood-Dr_Saint-Louis_MO_63126_M84337-60277
